Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Value new (USD),Value used (USD),Launch date,Exit date
70211-1,Legends of Chima,Buildable Figures,2014,CHI Fluminox,,91,17.99,19.99,,,5.70202E+12,6.73419E+11,24.003,27.9908,10.4902,0.14,57.85,27.3,1/6/2014,31/12/2014
76008-1,Marvel Super Heroes,Iron Man 3,2013,Iron Man vs. The Mandarin: Ultimate Showdown,2,91,11.99,12.99,15.99,,5.70202E+12,6.73419E+11,15.6972,14.097,4.4958,0.13,35.18,20.85,7/3/2013,31/12/2014
41485-1,BrickHeadz,Star Wars,2017,Finn,,91,9.99,9.99,12.99,9.99,5.70202E+12,6.73419E+11,9.1,12.2,7.8,,25.2,15.09,1/11/2017,31/01/2018
75268-1,Star Wars,Episode V,2020,Snowspeeder,2,91,17.99,19.99,24.99,19.99,5.70202E+12,6.73419E+11,26.2,14.1,6.1,0.23,18.92,17.78,1/1/2020,31/07/2021
8216-1,Technic,,1997,Turbo 1,,91,,10,,,,,19.2,14.4,4.8,,32.69,6.89,1/1/1997,31/12/1999
9730-1,Mindstorms,1,1998,Robo Sports,,91,,50,,,,,,,,,45,30,,
6690-1,Town,Fire,1980,Snorkel Pumper,2,91,,,,,,,,,,,135.3,18.55,,
M8785483-1,Miscellaneous,Muji,2011,Circus,,91,,,,,4.54872E+12,,,,,,,,,
8165-1,Racers,Power Racers,2009,Monster Jumper,,91,7.85,12.99,,,,6.73419E+11,26.2,14.1,6.1,0.22,9.95,5.11,,
5486-1,Duplo,,2009,Fun With Duplo Bricks,,90,21.99,29.99,39.99,,5.70201E+12,,,,,,,,,
79100-1,Teenage Mutant Ninja Turtles,TV Series,2013,Kraang Lab Escape,2,90,9.99,12.99,17.99,,5.70201E+12,6.73419E+11,15.7,14.1,4.5,0.12,39.35,14.28,1/1/2013,31/12/2014
250-3,Building Set with People,,1974,Aeroplane and pilot,,90,1.4,,,,,,,,,,81.12,12.37,,
